event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time
S4 2022 London,male,GBR,25-29,open,01:17:33,00:30:25,00:05:56,00:41:12
S4 2022 London,male,GBR,35-39,open,01:17:38,00:32:49,00:06:21,00:38:28
S4 2022 London,male,GBR,45-49,open,01:17:42,00:32:01,00:06:18,00:39:23
S4 2022 London,male,GBR,35-39,open,01:17:49,00:31:00,00:06:49,00:40:00
S4 2022 London,male,GBR,40-44,open,01:17:50,00:33:20,00:05:12,00:39:18
S4 2022 London,male,GBR,25-29,open,01:17:54,00:32:00,00:05:38,00:40:16
S4 2022 London,male,GBR,35-39,open,01:18:04,00:33:22,00:06:53,00:37:49
S4 2022 London,male,GBR,30-34,open,01:18:10,00:31:59,00:07:15,00:38:56
S4 2022 London,male,GBR,40-44,open,01:18:17,00:34:22,00:06:30,00:37:25
S4 2022 London,male,GBR,30-34,open,01:18:17,00:35:41,00:05:17,00:37:19
S4 2022 London,male,GBR,25-29,open,01:18:35,00:36:40,00:06:05,00:35:50
S4 2022 London,male,GBR,16-24,open,01:18:41,00:36:13,00:05:45,00:36:43
S4 2022 London,male,GBR,55-59,open,01:18:46,00:34:54,00:06:30,00:37:22
S4 2022 London,male,GBR,30-34,open,01:18:48,00:29:36,00:06:04,00:43:08
S4 2022 London,male,GBR,16-24,open,01:19:01,00:31:55,00:05:35,00:41:31
S4 2022 London,male,GBR,16-24,open,01:19:12,00:35:42,00:06:05,00:37:25
S4 2022 London,male,GBR,40-44,open,01:19:15,00:30:09,00:08:20,00:40:46
S4 2022 London,male,GBR,25-29,open,01:19:23,00:32:15,00:06:35,00:40:33
S4 2022 London,male,GBR,35-39,open,01:19:25,00:32:16,00:06:17,00:40:52
S4 2022 London,male,GBR,35-39,open,01:19:28,00:32:01,00:07:49,00:39:38
S4 2022 London,male,GBR,35-39,open,01:19:31,00:32:12,00:06:29,00:40:50
S4 2022 London,male,GBR,25-29,open,01:19:33,00:31:32,00:06:49,00:41:12
S4 2022 London,male,GBR,40-44,open,01:19:36,00:32:57,00:06:46,00:39:53
S4 2022 London,male,GBR,35-39,open,01:19:39,00:38:47,00:05:08,00:35:44
S4 2022 London,male,GBR,60-64,open,01:19:49,00:32:55,00:05:53,00:41:01
S4 2022 London,male,GBR,35-39,open,01:19:54,00:31:17,00:06:27,00:42:10
S4 2022 London,male,GBR,35-39,open,01:19:55,00:33:26,00:07:29,00:39:00
S4 2022 London,male,GBR,35-39,open,01:20:04,00:33:21,00:07:40,00:39:03
S4 2022 London,male,GBR,35-39,open,01:20:07,00:33:10,00:05:43,00:41:14
S4 2022 London,male,GBR,30-34,open,01:20:23,00:30:24,00:06:46,00:43:13
S4 2022 London,male,GBR,40-44,open,01:20:25,00:34:04,00:06:23,00:39:58
S4 2022 London,male,GBR,40-44,open,01:20:25,00:30:54,00:06:29,00:43:02
S4 2022 London,male,GBR,40-44,open,01:20:34,00:32:08,00:06:39,00:41:47
S4 2022 London,male,GBR,40-44,open,01:20:36,00:38:04,00:05:16,00:37:16
S4 2022 London,male,GBR,30-34,open,01:20:37,00:33:51,00:06:47,00:39:59
S4 2022 London,male,GBR,35-39,open,01:20:42,00:32:06,00:07:27,00:41:09
S4 2022 London,male,GBR,45-49,open,01:20:45,00:36:19,00:05:52,00:38:34
S4 2022 London,male,GBR,25-29,open,01:20:50,00:35:26,00:06:15,00:39:09
S4 2022 London,male,GBR,55-59,open,01:20:59,00:36:56,00:06:17,00:37:46
S4 2022 London,male,GBR,25-29,open,01:21:03,00:31:33,00:08:00,00:41:30
S4 2022 London,male,GBR,30-34,open,01:21:04,00:37:35,00:07:11,00:36:18
S4 2022 London,male,GBR,30-34,open,01:21:13,00:30:19,00:05:57,00:44:57
S4 2022 London,male,GBR,40-44,open,01:21:20,00:35:33,00:06:21,00:39:26
S4 2022 London,male,GBR,25-29,open,01:21:26,00:30:37,00:08:03,00:42:46
S4 2022 London,male,GBR,30-34,open,01:21:31,00:33:48,00:08:47,00:38:56
S4 2022 London,male,GBR,35-39,open,01:21:36,00:33:57,00:06:36,00:41:03
S4 2022 London,male,GBR,35-39,open,01:21:46,00:32:47,00:06:00,00:42:59
S4 2022 London,male,GBR,25-29,open,01:21:51,00:32:36,00:07:37,00:41:38
S4 2022 London,male,GBR,30-34,open,01:21:56,00:31:18,00:08:23,00:42:15
S4 2022 London,male,GBR,30-34,open,01:21:59,00:34:24,00:06:40,00:40:55
S4 2022 London,male,GBR,30-34,open,01:22:01,00:32:04,00:06:00,00:43:57
S4 2022 London,male,GBR,30-34,open,01:22:02,00:33:40,00:07:11,00:41:11
S4 2022 London,male,GBR,35-39,open,01:22:07,00:32:15,00:06:39,00:43:13
S4 2022 London,male,GBR,25-29,open,01:22:15,00:32:34,00:05:44,00:43:57
S4 2022 London,male,GBR,25-29,open,01:22:17,00:39:36,00:05:31,00:37:10
S4 2022 London,male,GBR,35-39,open,01:22:22,00:33:22,00:06:47,00:42:13
S4 2022 London,male,GBR,35-39,open,01:22:33,00:34:39,00:07:29,00:40:25
S4 2022 London,male,GBR,25-29,open,01:25:59,00:37:20,00:08:04,00:40:35
S4 2022 London,male,GBR,40-44,open,01:18:20,00:31:05,00:05:46,00:41:29
S4 2022 London,male,GBR,35-39,open,01:18:40,00:32:26,00:06:18,00:39:56
S4 2022 London,male,GBR,30-34,open,01:18:43,00:30:00,00:07:01,00:41:42
S4 2022 London,male,GBR,40-44,open,01:18:47,00:31:41,00:06:27,00:40:39
S4 2022 London,male,GER,35-39,open,01:18:59,00:35:12,00:04:43,00:39:04
S4 2022 London,male,GBR,30-34,open,01:19:06,00:32:09,00:06:19,00:40:38
S4 2022 London,male,GBR,16-24,open,01:19:12,00:35:42,00:06:05,00:37:25
S4 2022 London,male,GBR,35-39,open,01:19:18,00:30:57,00:07:11,00:41:10
S4 2022 London,male,GBR,30-34,open,01:19:25,00:33:33,00:05:53,00:39:59
S4 2022 London,male,GBR,16-24,open,01:19:31,00:32:42,00:07:20,00:39:29
S4 2022 London,male,GBR,45-49,open,01:19:33,00:32:35,00:06:13,00:40:45
S4 2022 London,male,GBR,35-39,open,01:19:34,00:35:25,00:05:12,00:38:57
S4 2022 London,male,GBR,40-44,open,01:19:37,00:29:48,00:06:56,00:42:53
S4 2022 London,male,GBR,30-34,open,01:19:41,00:33:05,00:07:18,00:39:18
S4 2022 London,male,GBR,60-64,open,01:19:49,00:32:55,00:05:53,00:41:01
S4 2022 London,male,GBR,30-34,open,01:19:52,00:34:21,00:05:13,00:40:18
S4 2022 London,male,GBR,35-39,open,01:19:55,00:33:26,00:07:29,00:39:00
S4 2022 London,male,GBR,25-29,open,01:20:02,00:31:14,00:05:41,00:43:07
S4 2022 London,male,ESP,40-44,open,01:20:06,00:35:17,00:06:15,00:38:34
S4 2022 London,male,GBR,35-39,open,01:20:19,00:35:44,00:08:00,00:36:35
S4 2022 London,male,GBR,16-24,open,01:20:23,00:32:53,00:07:48,00:39:42
S4 2022 London,male,GBR,50-54,open,01:20:25,00:36:21,00:05:23,00:38:41
S4 2022 London,male,GBR,30-34,open,01:20:30,00:33:01,00:08:47,00:38:42
S4 2022 London,male,GBR,25-29,open,01:20:34,00:32:28,00:07:59,00:40:07
S4 2022 London,male,GBR,30-34,open,01:20:37,00:32:21,00:07:56,00:40:20
S4 2022 London,male,GBR,30-34,open,01:20:40,00:33:36,00:06:27,00:40:37
S4 2022 London,male,GBR,45-49,open,01:20:45,00:36:19,00:05:52,00:38:34
S4 2022 London,male,GBR,45-49,open,01:20:49,00:33:40,00:06:14,00:40:55
S4 2022 London,male,GBR,45-49,open,01:20:50,00:34:23,00:05:57,00:40:30
S4 2022 London,male,GBR,30-34,open,01:21:01,00:38:54,00:06:35,00:35:32
S4 2022 London,male,GBR,30-34,open,01:21:04,00:37:35,00:07:11,00:36:18
S4 2022 London,male,GBR,55-59,open,01:21:13,00:32:22,00:07:17,00:41:34
S4 2022 London,male,GBR,35-39,open,01:21:15,00:36:39,00:05:44,00:38:52
S4 2022 London,male,ESP,30-34,open,01:21:23,00:34:00,00:05:50,00:41:33
S4 2022 London,male,GBR,16-24,open,01:21:31,00:33:08,00:07:32,00:40:51
S4 2022 London,male,ITA,30-34,open,01:21:31,00:33:00,00:07:43,00:40:48
S4 2022 London,male,GBR,16-24,open,01:21:37,00:30:59,00:07:50,00:42:48
S4 2022 London,male,GBR,45-49,open,01:21:42,00:36:16,00:05:59,00:39:27
S4 2022 London,male,GBR,35-39,open,01:21:50,00:31:59,00:08:13,00:41:38
S4 2022 London,male,GBR,40-44,open,01:21:54,00:31:55,00:06:35,00:43:24
S4 2022 London,male,ESP,35-39,open,01:21:59,00:32:05,00:07:56,00:41:58
S4 2022 London,male,GBR,35-39,open,01:21:59,00:33:53,00:07:05,00:41:01
S4 2022 London,male,GBR,16-24,open,01:22:03,00:34:22,00:06:55,00:40:46
S4 2022 London,male,GBR,50-54,open,01:22:14,00:35:08,00:05:51,00:41:15
S4 2022 London,male,GBR,25-29,open,01:22:17,00:32:27,00:06:40,00:43:10
S4 2022 London,male,GBR,16-24,open,01:22:21,00:31:22,00:07:02,00:43:57
S4 2022 London,male,GBR,45-49,open,01:22:23,00:33:55,00:06:30,00:41:58
S4 2022 London,male,GBR,40-44,open,01:22:34,00:33:07,00:07:47,00:41:40
S4 2022 London,male,GBR,16-24,open,01:22:40,00:34:55,00:07:01,00:40:44
S4 2022 London,male,GBR,35-39,open,01:22:44,00:31:18,00:07:43,00:43:43
S4 2022 London,male,GBR,40-44,open,01:22:48,00:35:21,00:07:45,00:39:42
S4 2022 London,male,GBR,30-34,open,01:22:51,00:29:52,00:06:40,00:46:19
S4 2022 London,male,GBR,40-44,open,01:22:52,00:34:48,00:06:04,00:42:00
S4 2022 London,male,GBR,45-49,open,01:22:56,00:33:10,00:08:22,00:41:24
S4 2022 London,male,GBR,45-49,open,01:22:57,00:34:35,00:06:46,00:41:36
S4 2022 London,male,GBR,35-39,open,01:22:59,00:37:13,00:05:24,00:40:22
S4 2022 London,male,GBR,30-34,open,01:23:04,00:33:37,00:07:12,00:42:15
S4 2022 London,male,GBR,30-34,open,01:23:13,00:31:08,00:09:52,00:42:13
S4 2022 London,male,GBR,40-44,open,01:23:17,00:33:20,00:07:50,00:42:07
S4 2022 London,male,GBR,30-34,open,01:23:21,00:31:43,00:06:58,00:44:40
S4 2022 London,male,GBR,30-34,open,01:23:24,00:33:03,00:06:27,00:43:54
S4 2022 London,male,GBR,40-44,open,01:23:24,00:35:08,00:07:26,00:40:50
S4 2022 London,male,GBR,35-39,open,01:23:28,00:29:28,00:06:37,00:47:23
S4 2022 London,male,GBR,25-29,open,01:23:33,00:34:52,00:07:30,00:41:11
S4 2022 London,male,GBR,30-34,open,01:23:35,00:37:25,00:07:42,00:38:28
S4 2022 London,male,GBR,30-34,open,01:23:41,00:32:30,00:09:12,00:41:59
S4 2022 London,male,GBR,35-39,open,01:23:48,00:32:44,00:06:16,00:44:48
S4 2022 London,male,GBR,30-34,open,01:23:51,00:32:34,00:06:56,00:44:21
S4 2022 London,male,GBR,25-29,open,01:23:54,00:34:51,00:07:08,00:41:55
S4 2022 London,male,GBR,40-44,open,01:23:58,00:34:43,00:07:14,00:42:01
S4 2022 London,male,GBR,40-44,open,01:24:01,00:33:50,00:07:17,00:42:54
S4 2022 London,male,GBR,30-34,open,01:24:05,00:34:45,00:08:50,00:40:30
